Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1589,     NSW,2307,18,15,4.9,        Suburban,NA,    77.78,    34.53,     9.53,18.3,18.3,0,0,0,0,0,21,5.92,5.92,1,1,2,1
1590,     NSW,2307,18,15,5.6,        Suburban,NA,    70.24,    36.35,    11.37,18.3,18.3,0,0,0,0,0,0,4.96,4.96,1,1,1,1
1591,     NSW,2307,18,15,5.8,        Suburban,NA,    60.85,    31.35,     9.94,18.3,18.3,0,0,0,0,0,18,5.57,5.57,1,1,1,1
1592,     NSW,2307,18,15,6,        Suburban,NA,    43.35,    32.15,    11.86,18.3,18.3,0,0,0,0,0,36,5.57,5.57,1,1,1,1
1593,     NSW,2307,18,15,6.1,        Suburban,NA,    59.63,    32.83,    10.14,22.2,22.2,0,0,0,0,0,0,3.59,3.59,1,1,1,1
1594,     NSW,2307,18,15,6.9,        Suburban,NA,    22.24,    30.61,    10.27,18.3,18.3,0,0,0,10.3,0,47,3.09,3.09,1,1,1,1
1595,     NSW,2307,18,15,4.9,        Suburban,NA,    76.10,    35.12,     9.56,18.3,18.3,0,0,0,0,0,20,4.09,4.09,1,1,1,1
1596,     NSW,2307,18,15,6.4,        Suburban,NA,    35.22,    32.86,    11.02,18.3,18.3,0,0,0,10.3,0,29,4.96,4.96,1,1,1,1
1597,     NSW,2307,18,15,6.9,        Suburban,NA,    22.24,    30.61,    10.27,18.3,18.3,0,0,0,10.3,0,47,3.09,3.09,1,1,1,1
1598,     NSW,2307,18,15,6.9,        Suburban,NA,    22.23,    30.61,    10.27,18.3,18.3,0,0,0,10.3,0,47,3.09,3.09,1,1,1,1
1599,     NSW,2307,18,15,6.2,        Suburban,NA,    44.18,    28.27,     7.13,18.3,18.3,0,0,0,18.3,0,39,3.44,3.44,1,1,1,1
1600,     NSW,2307,18,15,7.5,        Suburban,NA,    10.44,    29.55,    10.21,18.3,18.3,0,0,0,18.3,0,54,3.09,3.09,1,1,1,1
1601,     NSW,2307,18,15,7.1,        Suburban,NA,    21.68,    31.33,    10.10,18.3,18.3,0,0,0,18.3,0,36,3.09,3.09,1,1,1,1
1602,     NSW,2307,18,15,6.2,        Suburban,NA,    43.46,    28.86,     7.30,18.2,18.2,0,0,0,18.2,0,39,3.44,3.44,1,1,1,1
1603,     NSW,2307,18,15,7.6,        Suburban,NA,    12.85,    31.69,     9.31,16.6,16.6,0,0,0,16.6,0,31,3.09,3.09,1,1,1,1
1604,     NSW,2307,18,15,7.3,        Suburban,NA,    15.94,    30.58,    10.35,18.3,18.3,0,0,0,18.3,0,47,3.09,3.09,1,1,1,1
1605,     NSW,2307,18,15,7.6,        Suburban,NA,    12.85,    31.69,     9.31,16.6,16.6,0,0,0,16.6,0,31,3.09,3.09,1,1,1,1
1606,     NSW,2307,18,15,5.2,        Suburban,NA,    77.66,    30.82,     7.04,18.2,18.2,0,0,0,0,0,21,4.09,4.09,1,1,1,1
1607,     NSW,2307,18,15,6.6,        Suburban,NA,    42.28,    32.63,    10.37,22.2,22.2,0,0,0,7.7,0,8,3.59,3.59,1,1,1,1
1608,     NSW,2315,18,15,5.9,        Suburban,NA,    51.35,    14.30,     6.04,214.84,175.97,128.24,0,0,0,0,93,0.15,4.1,2,4,1,2
1609,     NSW,2315,18,15,5.7,        Suburban,NA,    57.32,    13.69,     6.15,200.79,163.28,117.92,0,0,0,0,76,0.15,4.4,2,4,1,2
1610,     NSW,2010,18,17,6,       Protected,NA,    12.26,    23.92,    11.29,46.2,46.2,0,0,0,46.2,0,90,3.55,3.55,1,1,1,1
1611,     NSW,2007,16,17,3.8,        Suburban,NA,    58.59,    19.86,    11.87,48.45,48.45,0,0,0,0,48.45,72,4,4,1,1,1,1
1612,     NSW,2007,16,17,3.7,        Suburban,NA,    53.79,    18.68,    11.32,48.45,48.45,0,0,0,48.45,48.45,120,7.1,7.1,1,1,2,1
