State,StarDiff
SA, 0.1
SA, 0.0
SA,-0.1
SA, 0.0
SA,-0.1
SA, 0.0
SA,-0.1
SA,-0.2
SA,-0.2
SA,-0.2
SA, 0.1
SA, 0.2
SA, 0.1
SA,-0.2
SA,-0.1
SA,-0.2
SA,-0.1
SA,-0.1
SA, 0.0
SA,-0.2
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.2
SA,-0.1
SA,-0.1
SA, 0.1
SA, 0.2
SA, 0.2
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA, 0.1
SA, 0.1
SA, 0.1
SA, 0.0
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA, 0.1
SA,-0.2
SA,-0.1
SA, 0.0
SA, 0.0
SA,-0.1
SA, 0.1
SA, 0.1
SA,-0.2
SA, 0.1
SA, 0.0
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA, 0.0
SA, 0.1
SA,-0.1
SA, 0.1
SA, 0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA, 0.0
SA, 0.0
SA,-0.2
SA,-0.2
SA,-0.2
SA,-0.3
SA,-0.2
SA,-0.2
SA,-0.2
SA, 0.0
SA, 0.0
SA, 0.1
SA, 0.1
SA, 0.0
SA,-0.1
SA, 0.0
SA,-0.2
SA,-0.1
SA,-0.1
SA,-0.2
SA, 0.1
SA, 0.1
SA, 0.1
SA,-0.1
SA, 0.2
SA, 0.1
SA, 0.0
SA, 0.2
SA, 0.2
SA, 0.1
SA, 0.2
SA, 0.1
SA, 0.1
SA, 0.2
SA,-0.2
SA, 0.1
SA,-0.1
SA,-0.1
SA, 0.1
SA, 0.1
SA, 0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA, 0.1
SA, 0.0
SA,-0.2
SA,-0.1
SA, 0.0
SA,-0.1
SA, 0.0
SA, 0.0
SA,-0.1
SA,-0.1
SA,-0.1
SA, 0.1
SA, 0.1
SA, 0.1
SA,-0.1
SA,-0.1
SA,-0.2
SA, 0.0
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA, 0.0
SA, 0.1
SA, 0.0
SA,-0.1
SA,-0.2
SA,-0.3
SA,-0.3
SA, 0.0
SA, 0.0
SA,-0.1
SA,-0.1
SA,-0.2
SA,-0.1
SA,-0.2
SA,-0.1
SA, 0.0
SA,-0.1
SA, 0.0
SA, 0.0
SA,-0.1
SA,-0.2
SA, 0.1
SA, 0.1
SA,-0.2
SA,-0.2
SA, 0.1
SA, 0.1
SA, 0.0
SA,-0.1
SA, 0.0
SA,-0.1
SA, 0.1
SA,-0.2
SA,-0.2
SA,-0.1
SA, 0.0
SA,-0.1
SA, 0.1
SA, 0.1
SA, 0.0
SA, 0.1
SA, 0.2
SA, 0.1
SA, 0.1
SA,-0.1
SA,-0.2
SA, 0.0
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA,-0.1
SA, 0.0
SA,-0.1
SA,-0.2
SA, 0.0
SA, 0.1
SA,-0.2
SA,-0.1
SA, 0.1
SA,-0.1
SA,-0.1
SA,-0.2
SA, 0.1
SA, 0.0
SA, 0.1
SA, 0.0
SA, 0.1
SA, 0.0
SA,-0.1
SA,-0.1
SA,-0.2
SA, 0.0
SA,-0.2
SA,-0.2
SA, 0.0
SA, 0.0
SA,-0.1
SA, 0.0
SA, 0.0
SA, 0.0
SA, 0.3
SA, 0.2
SA, 0.4
SA, 0.3
SA,-0.1
SA,-0.2
SA, 0.1
SA,-0.3
SA, 0.1
SA, 0.2
SA, 0.1
SA, 0.1
SA, 0.2
SA, 0.0
SA, 0.0
SA, 0.2
SA, 0.1
SA, 0.1
SA, 0.0
SA, 0.1
SA,-0.2
SA,-0.1
SA, 0.0
SA, 0.0
SA, 0.0
SA, 0.1
SA, 0.1
SA, 0.0
SA, 0.1
SA,-0.1
SA,-0.1
SA, 0.0
SA, 0.0
SA,-0.1
SA, 0.0
SA,-0.1
SA, 0.0
SA, 0.1
SA, 0.2
SA,-0.2
SA,-0.2
SA,-0.1
SA, 0.0
SA, 0.0
SA, 0.1
SA,-0.1
SA, 0.0
SA, 0.1
SA, 0.1
SA,-0.1
SA, 0.1
SA,-0.2
SA,-0.1
SA, 0.1
SA, 0.0
SA, 0.1
SA, 0.1
SA, 0.1
SA,-0.2
SA,-0.3
SA,-0.2
SA,-0.2
SA,-0.1
SA, 0.2
SA, 0.0
SA,-0.2
SA,-0.3
SA,-0.2
SA,-0.2
SA,-0.2
SA,-0.2
SA,-0.2
SA,-0.2
SA, 0.1
SA,-0.1
SA,-0.1
SA, 0.3
SA,-0.2
SA, 0.0
SA,-0.2
