Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
224,     ACT,2611,16,24,5.9,        Suburban,NA,175.78,27.03,2.23,132.3,103.3,101,0,0,0,0,27,0,2.8,2,3,1,2
225,     ACT,2617,16,24,6.4,        Suburban,NA,148.31,14.53,2.56,125.8,92.8,71.6,0,0,0,0,137,0,2.8,2,3,1,2
226,     ACT,2617,16,24,6.4,        Suburban,NA,148.95,14.38,2.54,125.8,92.8,71.6,0,0,0,0,134,0,2.8,2,3,1,2
227,     ACT,2617,16,24,6.4,        Suburban,NA,148.31,14.53,2.56,125.8,92.8,71.6,0,0,0,0,137,0,2.8,2,3,1,2
228,     ACT,2617,16,24,6.4,        Suburban,NA,148.68,14.38,2.54,125.8,92.8,71.6,0,0,0,0,134,0,2.8,2,3,1,2
229,     ACT,2617,16,24,6.4,        Suburban,NA,148.95,14.38,2.54,125.8,92.8,71.6,0,0,0,0,134,0,2.8,2,3,1,2
230,     ACT,2617,16,24,6.4,        Suburban,NA,148.03,14.44,2.56,125.8,92.8,71.6,0,0,0,0,137,0,2.8,2,3,1,2
231,     ACT,2617,16,24,6.4,        Suburban,NA,148.68,14.38,2.54,125.8,92.8,71.6,0,0,0,0,134,0,2.8,2,3,1,2
232,     ACT,2617,16,24,6.4,        Suburban,NA,148.95,14.38,2.54,125.8,92.8,71.6,0,0,0,0,134,0,2.8,2,3,1,2
233,     ACT,2617,16,24,6.4,        Suburban,NA,148.03,14.44,2.56,125.8,92.8,71.6,0,0,0,0,137,0,2.8,2,3,1,2
234,     ACT,2617,16,24,6.4,        Suburban,NA,148.31,14.53,2.56,125.8,92.8,71.6,0,0,0,0,137,0,2.8,2,3,1,2
235,     ACT,2617,16,24,5.4,        Suburban,NA,187.61,53.18,3.3,49.32,51.82,25.99,0,0,0,0,34,0.1,2.8,2,1,1,2
236,     ACT,2617,16,24,6.6,        Suburban,NA,130.7,28.45,3.63,49.32,51.82,25.99,0,0,0,0,65,0.1,2.8,2,1,1,2
237,     ACT,2617,16,24,6.6,        Suburban,NA,131.5,28.54,3.64,49.32,51.82,25.99,0,0,0,0,66,0.1,2.8,2,1,1,2
238,     ACT,2617,16,24,6.6,        Suburban,NA,131.5,28.54,3.64,49.32,51.82,25.99,0,0,0,0,66,0.1,2.8,2,1,1,2
239,     ACT,2617,16,24,6.6,        Suburban,NA,130.7,28.45,3.63,49.32,51.82,25.99,0,0,0,0,65,0.1,2.8,2,1,1,2
240,     ACT,2617,16,24,6.6,        Suburban,NA,131.5,28.54,3.64,49.32,51.82,25.99,0,0,0,0,66,0.1,2.8,2,1,1,2
241,     ACT,2617,16,24,6.6,        Suburban,NA,130.7,28.45,3.63,49.32,51.82,25.99,0,0,0,0,65,0.1,2.8,2,1,1,2
242,     ACT,2617,16,24,6.6,        Suburban,NA,131.5,28.54,3.64,49.32,51.82,25.99,0,0,0,0,66,0.1,2.8,2,1,1,2
243,     ACT,2617,16,24,6.6,        Suburban,NA,130.7,28.45,3.63,49.32,51.82,25.99,0,0,0,0,65,0.1,2.8,2,1,1,2
244,     ACT,2617,16,24,4.9,        Suburban,NA,216.09,59.32,3.76,48.75,51.25,25.99,0,0,0,0,35,0.1,2.8,2,1,1,2
245,     ACT,2617,16,24,5.4,        Suburban,NA,193.69,50.89,3.67,49.32,51.82,25.99,0,0,0,0,34,0.1,2.8,2,1,1,2
246,     ACT,2614,16,24,6.4,        Suburban,NA,109.63,40.95,2.75,181.6,150.7,112.8,0,0,0,0,101,0.1,3.4,2,4,1,2
247,     ACT,2614,16,24,5.4,        Suburban,NA,161.96,52.36,2.61,164.3,132.5,113.1,0,0,0,0,92,0.1,3.4,2,3,1,2
248,     ACT,2602,17,24,7.4,        Suburban,NA,119.62,4,1.23,121,103,121,0,0,0,0,0,0.01,0.1,1,3,0,1
249,     ACT,2617,16,24,5.5,        Suburban,NA,178.9,39.75,2.79,81.5,81.5,0,0,0,81.5,0,82,3.3,3.3,2,3,1,1
250,     ACT,2612,17,24,6.9,        Suburban,NA,117.37,19.45,2.34,98.83,83.33,50.28,0,0,0,0,139,0.1,2.65,2,3,0,2
251,     ACT,2602,16,24,6.4,        Suburban,NA,121.06,39.33,3.54,170.6,130.6,128.6,0,33,0,0,19,0.1,0.6,2,1,0,1
252,     ACT,2617,16,24,6.3,        Suburban,NA,151.26,32.13,2.76,90.3,71.1,50.4,0,0,0,0,83,0.1,2.8,2,2,1,2
253,     ACT,2617,16,24,7.3,        Suburban,NA,103.53,14.41,2.73,91.05,73.05,49,0,0,0,0,150,0.1,2.8,2,2,1,2
254,     ACT,2617,16,24,7.4,        Suburban,NA,99.79,14.43,2.62,91.05,73.05,49,0,0,0,0,150,0.1,2.8,2,2,1,2
255,     ACT,2617,16,24,7.3,        Suburban,NA,103.53,14.41,2.73,91.05,73.05,49,0,0,0,0,150,0.1,2.8,2,2,1,2
256,     ACT,2617,16,24,7.4,        Suburban,NA,99.79,14.43,2.62,91.05,73.05,49,0,0,0,0,150,0.1,2.8,2,2,1,2
257,     ACT,2617,16,24,7.3,        Suburban,NA,103.53,14.41,2.73,91.05,73.05,49,0,0,0,0,150,0.1,2.8,2,2,1,2
258,     ACT,2617,16,24,7.4,        Suburban,NA,99.79,14.43,2.62,91.05,73.05,49,0,0,0,0,150,0.1,2.8,2,2,1,2
259,     ACT,2617,16,24,7.3,        Suburban,NA,103.53,14.41,2.73,91.05,73.05,49,0,0,0,0,150,0.1,2.8,2,2,1,2
260,     ACT,2617,16,24,7.4,        Suburban,NA,99.79,14.43,2.62,91.05,73.05,49,0,0,0,0,150,0.1,2.8,2,2,1,2
261,     ACT,2617,16,24,6.2,        Suburban,NA,150.89,36.91,3.24,90.3,71.1,50.4,0,0,0,0,83,0.1,2.8,2,2,1,2
262,     ACT,2617,16,24,6.1,        Suburban,NA,119.94,49.77,2.95,172.2,131.5,64.3,0,0,0,0,192,0.1,5.5,2,3,1,3
263,     ACT,2914,17,24,6.3,        Suburban,NA,150.9,17.34,1.91,171,137.8,171,0,0,0,0,0,0.01,0.1,2,4,0,1
264,     ACT,2617,17,24,6,        Suburban,NA,166.24,20.84,2.38,140.1,105.2,46.9,0,0,0,0,122,0.1,6.42,2,3,2,3
265,     ACT,2617,17,24,6.9,        Suburban,NA,111.81,20.17,2.58,140.1,105.2,46.9,0,0,0,0,232,0.1,6.42,2,3,2,3
266,     ACT,2617,17,24,6.9,        Suburban,NA,111.81,20.17,2.58,140.1,105.2,46.9,0,0,0,0,232,0.1,6.42,2,3,2,3
267,     ACT,2617,17,24,6.9,        Suburban,NA,111.81,20.17,2.58,140.1,105.2,46.9,0,0,0,0,232,0.1,6.42,2,3,2,3
268,     ACT,2617,17,24,6.9,        Suburban,NA,111.81,20.17,2.58,140.1,105.2,46.9,0,0,0,0,232,0.1,6.42,2,3,2,3
269,     ACT,2617,17,24,6.9,        Suburban,NA,111.81,20.17,2.58,140.1,105.2,46.9,0,0,0,0,232,0.1,6.42,2,3,2,3
270,     ACT,2617,17,24,6.9,        Suburban,NA,111.81,20.17,2.58,140.1,105.2,46.9,0,0,0,0,232,0.1,6.42,2,3,2,3
271,     ACT,2617,17,24,6.9,        Suburban,NA,111.81,20.17,2.58,140.1,105.2,46.9,0,0,0,0,232,0.1,6.42,2,3,2,3
272,     ACT,2617,17,24,7,        Suburban,NA,106.14,19.43,2.04,188.8,130.9,69.3,0,0,0,0,234,0.1,5.5,1,3,1,3
273,     ACT,2617,17,24,7,        Suburban,NA,106.14,19.43,2.04,188.8,130.9,69.3,0,0,0,0,234,0.1,5.5,1,3,1,3
274,     ACT,2617,17,24,7,        Suburban,NA,106.14,19.43,2.04,188.8,130.9,69.3,0,0,0,0,234,0.1,5.5,1,3,1,3
275,     ACT,2617,17,24,7,        Suburban,NA,106.14,19.43,2.04,188.8,130.9,69.3,0,0,0,0,234,0.1,5.5,1,3,1,3
276,     ACT,2617,17,24,7,        Suburban,NA,106.14,19.43,2.04,188.8,130.9,69.3,0,0,0,0,234,0.1,5.5,1,3,1,3
277,     ACT,2617,17,24,7,        Suburban,NA,106.14,19.43,2.04,188.8,130.9,69.3,0,0,0,0,234,0.1,5.5,1,3,1,3
278,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
279,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
280,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
281,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
282,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
283,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
284,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
285,     ACT,2617,17,24,7.2,        Suburban,NA,101.52,16.89,1.92,145.5,110.6,46.9,0,0,0,0,208,0.1,5.5,1,3,1,3
286,     ACT,2617,17,24,7.2,        Suburban,NA,101.82,16.82,1.93,145.5,110.6,46.9,0,0,0,0,209,0.1,5.5,1,3,1,3
287,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
288,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
289,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
290,     ACT,2617,17,24,7.3,        Suburban,NA,97.38,16.76,1.95,145.5,110.6,46.9,0,0,0,0,221,0.1,5.5,1,3,1,3
291,     ACT,2617,17,24,5.9,        Suburban,NA,149.42,25.49,2.41,221.3,151.3,86.5,0,0,0,0,127,0.1,5.5,2,4,1,3
292,     ACT,2617,17,24,5.9,        Suburban,NA,162.81,30.83,2.74,119.2,83.6,46.1,0,0,0,0,109,0.1,5.5,2,2,1,3
293,     ACT,2617,17,24,6.3,        Suburban,NA,122.78,43.02,2.98,119.2,83.6,46.1,0,0,0,0,203,0.1,5.5,2,2,1,3
294,     ACT,2617,17,24,6.3,        Suburban,NA,122.78,43.02,2.98,119.2,83.6,46.1,0,0,0,0,203,0.1,5.5,2,2,1,3
295,     ACT,2617,17,24,5.9,        Suburban,NA,167.33,35.05,2.74,95.8,82.2,41,0,0,0,0,63,0.1,5.5,2,2,1,3
296,     ACT,2617,17,24,5.9,        Suburban,NA,164.94,37.05,2.83,119.2,83.8,45.9,0,0,0,0,103,0.1,5.86,2,2,2,3
297,     ACT,2617,17,24,6,        Suburban,NA,153.71,39.44,2.84,119.2,83.8,45.9,0,0,0,0,103,0.1,5.86,2,2,2,3
298,     ACT,2617,17,24,5.8,        Suburban,NA,176.89,27.48,2.45,95.8,82.2,41,0,0,0,0,79,0.1,5.5,2,2,1,3
299,     ACT,2617,17,24,6.3,        Suburban,NA,127.01,44.15,3.18,95.9,82.3,40.7,0,0,0,0,137,0.1,5.5,2,2,1,3
300,     ACT,2617,17,24,6.3,        Suburban,NA,128.44,42.62,3.16,95.8,82.2,41,0,0,0,0,134,0.1,5.5,2,2,1,3
301,     ACT,2617,17,24,6.3,        Suburban,NA,127.01,44.15,3.18,95.9,82.3,40.7,0,0,0,0,137,0.1,5.5,2,2,1,3
302,     ACT,2617,17,24,6.3,        Suburban,NA,128.44,42.62,3.16,95.8,82.2,41,0,0,0,0,134,0.1,5.5,2,2,1,3
303,     ACT,2617,17,24,6.3,        Suburban,NA,127.01,44.15,3.18,95.9,82.3,40.7,0,0,0,0,137,0.1,5.5,2,2,1,3
