Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
289,     QLD,4121,18,10,5.1,        Suburban,NA,14.75,23.73,9.3,349.3,315.5,181.1,0,0,0,0,0,0.1,4.1,3,5,1,2
290,     QLD,4020,16,10,5.1,        Suburban,NA,14.96,28.05,11.65,193.57,178.17,0,6139,61.39,0,0,201,0.25,6.35,1,3,2,3
291,     QLD,4020,16,10,4.9,        Suburban,NA,27.94,23.52,10.15,161.32,145.72,0,5100,51,0,0,109,0.25,6.35,1,3,2,3
292,     QLD,4020,16,10,5.9,        Suburban,NA,17.98,16.92,8.44,243.06,211.16,37.37,0,53.54,0,0,132,0.05,6.25,1,6,2,3
293,     QLD,4031,18,10,7.9,        Suburban,NA,7.2,15.96,6.12,162.5,125.5,94.4,0,0,0,0,58,0.1,3.1,1,3,1,2
294,     QLD,4031,18,10,6.4,        Suburban,NA,13.9,20.99,8.93,148.5,131.7,82,0,0,0,0,38,0.1,3.1,1,3,1,2
295,     QLD,4031,18,10,7,        Suburban,NA,7.99,22.89,8.18,118.2,101,61.6,0,0,0,0,114,0.1,3.2,1,3,1,2
296,     QLD,4031,18,10,6.7,        Suburban,NA,15.97,19.79,6.87,118.2,101,61.6,0,0,0,0,111,0.1,3.2,1,3,1,2
297,     QLD,4031,18,10,6.9,        Suburban,NA,14.13,18.16,7.58,135.2,118.2,66.9,0,0,0,0,67,0.1,3.2,1,3,1,2
298,     QLD,4031,18,10,8.1,        Suburban,NA,7.38,12.1,6.68,148.15,130.45,75.4,0,0,0,0,127,0.1,3.2,1,3,1,2
299,     QLD,4012,19,10,5.2,        Suburban,NA,29.77,19.95,6.54,203.8,170.8,108.4,0,0,0,0,0,0.1,2.84,1,4,1,2
300,     QLD,4012,19,10,5.2,        Suburban,NA,23.19,25.09,7.16,203.8,170.8,108.4,0,0,0,0,0,0.1,2.84,1,4,1,2
301,     QLD,4007,18,10,7.1,        Suburban,NA,11.02,18.91,7.8,163.3,130.8,90.1,0,0,0,0,56,0.1,2.8,1,3,1,2
302,     QLD,4007,18,10,6.2,        Suburban,NA,25.29,14.7,6.31,164.6,131.5,97.7,0,0,0,0,55,0.1,2.8,1,3,1,2
303,     QLD,4221,18,10,5.2,            Open,NA,27.59,20.34,6.57,186.1,192.6,88.9,0,0,0,0,0,0.1,2.8,1,3,1,2
