Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
113,     QLD,4207,17,10,3.9,        Suburban,NA,67.98,11.54,9.25,72.5,72.5,0,0,0,9,72.5,81,2.8,2.8,1,1,1,1
114,     QLD,4207,17,10,5.2,        Suburban,NA,34.95,14.66,10.42,58.9,58.9,0,0,0,58.9,58.9,116,5.5,5.5,1,1,1,1
115,     QLD,4207,17,10,6.6,        Suburban,NA,22.4,10.53,9.44,66.5,66.5,0,0,0,66.5,66.5,134,5.5,5.5,1,1,1,1
116,     QLD,4207,17,10,4.5,        Suburban,NA,54.4,8.27,7.18,75.7,75.7,0,0,0,75.7,75.7,152,5.5,5.5,1,1,1,1
117,     QLD,4207,17,10,5.4,        Suburban,NA,35.84,10.96,9.4,66,66,0,0,0,66,66,132,5.5,5.5,1,1,1,1
118,     QLD,4207,17,10,5.3,            Open,NA,45.05,12.98,8.49,58.9,58.9,0,0,0,58.9,0,58,8.2,8.2,1,1,2,1
119,     QLD,4207,17,10,6.6,            Open,NA,29.57,10,7.58,66.5,66.5,0,0,0,66.5,0,68,8.2,8.2,1,1,2,1
120,     QLD,4207,17,10,4.6,            Open,NA,61.5,8.11,6.64,75.7,75.7,0,0,0,75.7,0,78,8.2,8.2,1,1,2,1
121,     QLD,4207,17,10,5.3,            Open,NA,44.78,11.14,8.71,66,66,0,0,0,66,0,68,8.2,8.2,1,1,2,1
122,     QLD,4207,17,10,4.1,            Open,NA,68.38,13.59,8.9,58.9,58.9,0,0,0,58.9,0,60,8.2,8.2,1,1,2,1
123,     QLD,4207,17,10,4.1,        Suburban,NA,55.88,12.48,9.4,75.7,75.7,0,0,0,75.7,75.7,152,5.5,5.5,1,1,1,1
124,     QLD,4207,17,10,4.3,        Suburban,NA,50.86,14.36,10.64,58.9,58.9,0,0,0,58.9,58.9,116,5.5,5.5,1,1,1,1
125,     QLD,4207,17,10,4,            Open,NA,70.13,11.02,8.02,75.7,75.7,0,0,0,75.7,0,78,8.2,8.2,1,1,2,1
126,     QLD,4220,17,10,5.9,        Suburban,NA,16.19,10.87,6.24,578.9,552.9,202.1,0,0,0,0,0,0.1,7,1,5,2,3
127,     QLD,4007,18,10,4.5,            Open,NA,26.9,11.45,7.72,719,626,272,0,0,0,3.3,3,0.2,11,1,4,3,3
128,     QLD,4563,18,10,5.7,            Open,NA,22.34,12.43,5.77,356.72,356.72,356.72,0,0,0,0,0,0.1,0.1,1,3,0,1
129,     QLD,4565,18,10,5.3,        Suburban,NA,21.5,21.75,8.09,247,206.4,189.7,0,0,0,0,0,0.1,2.8,1,4,1,2
130,     QLD,4020,16,10,5,        Suburban,NA,25.44,24.13,9.05,190.96,157.36,0,10290,102.9,0,0,47,0.6,3.83,1,3,1,2
131,     QLD,4020,16,10,6.1,        Suburban,NA,21.36,16.9,8.42,183.65,149.14,0,11026,110.26,0,0,63,0.6,3.83,1,3,1,2
132,     QLD,4116,16,10,5,        Suburban,NA,33.57,14.67,7.95,223.05,185.45,126.9,0,0,0,0,0,0.3,3.04,1,3,1,2
133,     QLD,4116,16,10,5.1,        Suburban,NA,27.01,18.16,9.02,233.39,200.16,105.2,0,0,0,0,0,0.1,2.69,1,3,0,2
134,     QLD,4116,16,10,5.1,        Suburban,NA,22.31,20.65,10.64,245.48,213.48,125.9,0,0,0,0,0,0.3,2.89,1,3,1,2
135,     QLD,4208,16,10,6.1,            Open,NA,45.63,13.04,4.11,59,59,59,0,0,0,0,0,0.1,0.1,1,1,0,1
136,     QLD,4102,15,10,7.4,            Open,NA,12.29,12.43,8.69,65.3,65.3,0,0,0,65.3,65.3,153,9.2,9.2,1,2,3,1
137,     QLD,4102,15,10,5.4,        Suburban,NA,33.22,15.07,10.76,75.41,75.41,0,0,0,0,75.41,103,0.5,0.5,1,2,0,1
138,     QLD,4102,15,10,6.9,        Suburban,NA,16.24,13.29,9.52,65.3,65.3,0,0,0,52.65,65.3,140,3.4,3.4,1,2,1,1
139,     QLD,4102,15,10,7.4,        Suburban,NA,10.63,13.69,9.77,65.3,65.3,0,0,0,65.3,65.3,153,6.3,6.3,1,2,2,1
140,     QLD,4102,15,10,7.4,            Open,NA,12.29,12.43,8.69,65.3,65.3,0,0,0,65.3,65.3,153,9.2,9.2,1,2,3,1
141,     QLD,4102,15,10,6,            Open,NA,19.55,21.69,10.79,65.3,65.3,0,0,0,65.3,0,87,12.1,12.1,1,2,4,1
142,     QLD,4102,15,10,5.4,        Suburban,NA,32.84,15.05,10.7,75.41,75.41,0,0,0,0,75.41,103,0.5,0.5,1,2,0,1
143,     QLD,4102,15,10,6.6,        Suburban,NA,22.91,12.37,8.02,67.72,67.72,0,0,0,0,67.72,117,0.5,0.5,1,2,0,1
144,     QLD,4102,15,10,6.4,        Suburban,NA,25.11,11.92,7.83,67.77,67.77,0,0,0,0,67.77,115,0.5,0.5,1,2,0,1
145,     QLD,4102,15,10,4.9,        Suburban,NA,19.8,26.89,18.41,47.03,47.03,0,0,0,0,47.03,98,0.5,0.5,1,1,0,1
146,     QLD,4102,15,10,6.1,        Suburban,NA,19.28,19.03,11.54,73.69,73.69,0,0,0,0,73.5,101,0.5,0.5,1,2,0,1
147,     QLD,4102,15,10,6.4,        Suburban,NA,16.47,18.96,11.07,75.19,75.19,0,0,0,0,75,102,0.5,0.5,1,2,0,1
148,     QLD,4102,15,10,4.4,        Suburban,NA,31.54,25.72,16.53,50.66,50.66,0,0,0,0,50.66,109,0.5,0.5,1,1,0,1
149,     QLD,4102,15,10,4.4,        Suburban,NA,29.19,27.57,17.41,45.71,45.71,0,0,0,0,45.71,100,0.5,0.5,1,1,0,1
150,     QLD,4102,15,10,4.4,        Suburban,NA,28.44,27.72,17.69,45.71,45.71,0,0,0,0,45.71,100,0.5,0.5,1,1,0,1
151,     QLD,4102,15,10,4.4,        Suburban,NA,26.43,28.39,18.1,50.66,50.66,0,0,0,0,50.66,108,0.5,0.5,1,1,0,1
152,     QLD,4102,15,10,4.2,        Suburban,NA,34.3,32.87,17.11,52.35,52.35,0,0,0,0,53.18,79,0.5,0.5,1,1,0,1
153,     QLD,4102,15,10,8.6,        Suburban,NA,4.43,11.87,7.71,70.14,70.14,70.14,0,0,0,70.14,101,0.5,0.5,1,2,0,1
154,     QLD,4102,15,10,8.9,        Suburban,NA,2.16,10.44,7.08,67.98,67.98,67.98,0,0,0,67.98,129,0.5,0.5,1,2,0,1
155,     QLD,4102,15,10,8.3,        Suburban,NA,5.95,11.64,8.47,64.93,64.93,64.93,0,0,0,64.93,120,0.5,0.5,1,2,0,1
156,     QLD,4102,15,10,5.5,        Suburban,NA,5.46,36.84,14.89,46.94,46.94,46.94,0,0,0,46.94,90,0.5,0.5,1,1,0,1
157,     QLD,4102,15,10,5.4,        Suburban,NA,16.22,33.13,14.44,51.8,51.8,51.8,0,0,0,33.86,71,0.5,0.5,1,1,0,1
