Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
39,     VIC,3008,17,21, 8.20,       Protected,NA,38.61,14.62,     6.39,35.7,35.7,0,3822,38.22,0,35.7,78,3,3,1,1,1,1
40,     VIC,3008,17,21, 8.20,       Protected,NA,38.61,14.62,     6.39,35.7,35.7,0,3822,38.22,0,35.7,78,3,3,1,1,1,1
41,     VIC,3008,17,21, 8.10,       Protected,NA,28.48,17.98,     7.09,35.7,35.7,0,0,0,35.7,35.7,113,6.48,6.48,1,1,2,1
42,     VIC,3008,17,21, 8.10,       Protected,NA,28.48,17.98,     7.09,35.7,35.7,0,0,0,35.7,35.7,113,6.48,6.48,1,1,2,1
43,     VIC,3008,17,21, 8.10,       Protected,NA,28.69,17.98,     7.12,35.7,35.7,0,0,0,35.7,35.7,113,6.48,6.48,1,1,2,1
44,     VIC,3008,17,21, 7.90,       Protected,NA,34.87,16.92,     7.20,35.7,35.7,0,0,0,35.7,35.7,113,12.38,12.38,1,1,4,1
45,     VIC,3008,17,21, 7.90,       Protected,NA,34.72,18.26,     7.25,35.7,35.7,0,0,0,35.7,35.7,113,12.38,12.38,1,1,4,1
46,     VIC,3008,17,21, 7.90,       Protected,NA,34.36,17.02,     7.17,35.7,35.7,0,0,0,35.7,35.7,113,12.38,12.38,1,1,4,1
47,     VIC,3008,17,21, 7.20,       Protected,NA,50.21,31.88,     8.72,35.7,35.7,0,0,0,35.7,0,78,15.33,15.33,1,1,5,1
48,     VIC,3008,17,21, 7.20,       Protected,NA,50.21,31.88,     8.72,35.7,35.7,0,0,0,35.7,0,78,15.33,15.33,1,1,5,1
49,     VIC,3008,17,21, 8.10,       Protected,NA,40.32,14.72,     6.26,35.7,35.7,0,3822,38.22,0,35.7,78,3,3,1,1,1,1
50,     VIC,3008,17,21, 7.20,       Protected,NA,49.58,31.83,     7.81,35.7,35.7,0,0,0,35.7,0,78,15.33,15.33,1,1,5,1
51,     VIC,3008,17,21, 8.10,       Protected,NA,40.32,14.72,     6.26,35.7,35.7,0,3822,38.22,0,35.7,78,3,3,1,1,1,1
52,     VIC,3008,17,21, 8.00,       Protected,NA,30.26,17.91,     7.34,35.7,35.7,0,0,0,35.7,35.7,113,6.48,6.48,1,1,2,1
53,     VIC,3008,17,21, 8.00,       Protected,NA,30.26,17.91,     7.34,35.7,35.7,0,0,0,35.7,35.7,113,6.48,6.48,1,1,2,1
54,     VIC,3008,17,21, 7.90,       Protected,NA,32.23,19.14,     7.57,35.7,35.7,0,0,0,35.7,35.7,113,9.43,9.43,1,1,3,1
55,     VIC,3008,17,21, 8.00,       Protected,NA,31.81,17.59,     7.30,35.7,35.7,0,0,0,35.7,35.7,113,9.43,9.43,1,1,3,1
56,     VIC,3008,17,21, 7.90,       Protected,NA,34.3,16.95,     7.03,35.7,35.7,0,0,0,35.7,35.7,113,12.38,12.38,1,1,4,1
57,     VIC,3008,17,21, 7.90,       Protected,NA,34.3,16.95,     7.03,35.7,35.7,0,0,0,35.7,35.7,113,12.38,12.38,1,1,4,1
58,     VIC,3008,17,21, 7.20,       Protected,NA,49.58,31.81,     7.74,35.7,35.7,0,0,0,35.7,0,78,15.33,15.33,1,1,5,1
59,     VIC,3008,17,21, 8.20,       Protected,NA,27.28,16.32,     6.77,37.3,37.3,0,0,0,37.3,37.3,122,6.48,6.48,1,1,2,1
60,     VIC,3008,17,21, 7.20,       Protected,NA,49.58,31.81,     7.74,35.7,35.7,0,0,0,35.7,0,78,15.33,15.33,1,1,5,1
61,     VIC,3008,17,21, 8.10,       Protected,NA,30.59,16.13,     6.67,37.3,37.3,0,0,0,37.3,37.3,115,6.48,6.48,1,1,2,1
62,     VIC,3008,17,21, 8.10,       Protected,NA,32.27,16.02,     6.61,37.3,37.3,0,0,0,37.3,37.3,115,9.43,9.43,1,1,3,1
63,     VIC,3008,17,21, 8.20,       Protected,NA,28.92,15.63,     6.64,37.3,37.3,0,0,0,37.3,37.3,122,9.43,9.43,1,1,3,1
64,     VIC,3008,17,21, 8.10,       Protected,NA,31.56,15.43,     6.51,37.3,37.3,0,0,0,37.3,37.3,122,12.38,12.38,1,1,4,1
65,     VIC,3008,17,21, 7.30,       Protected,NA,53.98,27,     7.35,37.3,37.3,0,0,0,37.3,0,77,15.33,15.33,1,1,5,1
66,     VIC,3008,17,21, 8.10,       Protected,NA,31.56,15.43,     6.51,37.3,37.3,0,0,0,37.3,37.3,122,12.38,12.38,1,1,4,1
