Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,     TAS,7250,16,23,5.7,        Suburban,NA,164.47,12.15,0.73,286.06,205.96,97,0,52,0,0,0,0.1,2.7,1,4,0,2
2,     TAS,7140,18,25,5.9,            Open,NA,383.99,1.3,0.63,153.42,173.22,116.84,0,0,0,0,0,0.15,2.75,2,4,0,2
4,     TAS,7015,17,26,5.6,        Suburban,NA,192.76,3.34,0.23,182.65,142.99,122.69,0,0,0,0,0,0.15,2.75,1,3,0,2
5,     TAS,7172,16,26,7.2,        Suburban,NA,117.88,5.07,0.37,155.01,118.91,155.01,0,0,0,0,0,0.4,0.4,1,3,0,1
6,     TAS,7172,16,26,7.7,        Suburban,NA,100.75,5.2,0.31,131.87,97.1,131.87,0,0,0,0,0,0.4,0.4,1,2,0,1
7,     TAS,7172,16,26,7.6,        Suburban,NA,102.8,5.02,0.33,131.87,97.1,131.87,0,0,0,0,0,0.4,0.4,1,2,0,1
8,     TAS,7172,16,26,7.3,        Suburban,NA,113.82,5.54,0.38,155.01,118.91,155.01,0,0,0,0,0,0.4,0.4,1,3,0,1
9,     TAS,7005,16,26,6.8,        Suburban,NA,119.18,3.68,0.26,198.41,201.41,0,13130,131.3,0,0,0,0.3,3.05,2,5,1,2
10,     TAS,7005,16,26,6.8,        Suburban,NA,119.18,3.68,0.26,198.41,201.41,0,13130,131.3,0,0,0,0.3,3.05,2,5,1,2
11,     TAS,7005,17,26,6.1,        Suburban,NA,154.84,4.24,0.24,174.03,174.03,0,17700,177,0,0,0,0.6,0.6,1,3,0,1
12,     TAS,7020,15,26,6,        Suburban,NA,156.45,1.24,0.15,195.83,195.83,195.83,0,0,0,0,0,0.3,0.3,1,4,0,1
13,     TAS,7170,15,26,6.2,            Open,NA,135.07,3.61,0.23,279.29,239.76,238.72,0,0,0,0,0,0.05,2.5,2,5,0,2
14,     TAS,7021,18,26,6.1,        Suburban,NA,164.11,5.37,0.41,141.66,141.66,0,14100,141,0,0,0,0.3,0.3,3,4,0,1
15,     TAS,7010,16,26,5.9,        Suburban,NA,172.86,10.98,1.3,126.33,128.43,0,9110,91.1,0,0,0,2.3,4.7,2,3,1,2
16,     TAS,7155,18,26,7.4,            Open,NA,89.15,2.56,0.15,321.33,269.53,350.93,0,0,0,0,0,0.4,0.6,1,3,0,1
17,     TAS,7052,18,26,7.1,        Suburban,NA,115.23,5.2,0.35,188.51,154.51,37,0,53,0,0,0,1,3.5,2,3,1,2
18,     TAS,7021,16,26,5.5,        Suburban,NA,152.74,4.42,0.39,363.46,300.16,145.38,0,105,0,0,0,0.1,2.5,2,5,0,2
19,     TAS,7053,16,26,5.9,        Suburban,NA,153.86,9.15,0.42,216.11,216.11,77.76,0,45,0,0,0,0.3,2.7,2,5,0,2
20,     TAS,7018,17,26,7,        Suburban,NA,134.08,9.6,0.57,100.23,102.43,50.4,0,0,0,0,0,0.1,2.54,1,2,0,2
21,     TAS,7005,17,26,8.1,        Suburban,NA,91.58,2.24,0.6,93.69,46.95,46.74,0,0,0,0,0,0.1,2.6,1,1,0,2
22,     TAS,7109,16,26,9,            Open,NA,34.2,0.02,0.02,124.46,124.46,124.46,0,0,0,0,0,0.2,0.2,1,2,0,1
23,     TAS,7015,16,26,5.7,        Suburban,NA,173.56,3.78,0.25,282.36,286.36,60.76,0,155.8,0,0,0,0.3,3.46,2,4,1,2
24,     TAS,7190,18,26,5.3,            Open,NA,168.19,6.33,0.36,336.04,352.28,230.22,0,0,0,0,0,0.2,2.6,2,5,0,2
25,     TAS,7000,16,26,5.7,        Suburban,NA,199.57,1.18,0.16,127.33,127.33,51.3,0,75.98,0,0,0,0.4,0.4,2,3,0,1
26,     TAS,7000,18,26,6.4,        Suburban,NA,125.78,3.42,0.29,316.32,323.82,35.25,0,181.02,0,0,0,0.4,3.3,3,5,1,2
27,     TAS,7008,16,26,5.9,        Suburban,NA,169.52,2.83,0.25,155.93,155.93,79.9,0,75.98,0,0,0,0.2,0.4,2,3,0,1
28,     TAS,7005,17,26,5.9,        Suburban,NA,138.3,5.22,0.31,276.99,276.99,0,27000,270,0,0,0,0.8,0.8,2,2,0,1
29,     TAS,7116,17,26,9.3,            Open,NA,22.97,0.95,0.18,177.79,177.79,177.79,0,0,0,0,0,0.3,0.3,1,3,0,1
30,     TAS,7173,17,26,5.9,            Open,NA,149.93,4.17,0.22,222.87,225.37,0,15500,155,0,0,0,0.9,3.3,2,3,1,2
31,     TAS,7170,15,26,5.9,            Open,NA,136.71,1.62,0.16,401.86,354.63,47.23,0,314,0,0,0,0.1,0.6,2,4,0,1
32,     TAS,7190,15,26,7.1,            Open,NA,128.63,3.14,0.17,113.58,113.58,68.64,0,46,0,0,0,0.6,0.6,1,2,0,1
