State,StarDiff
SA,0.09999999999999964
SA,0
SA,0
SA,0
SA,-0.10000000000000053
SA,-0.1999999999999993
SA,-0.20000000000000018
SA,0.09999999999999964
SA,0.09999999999999964
SA,-0.10000000000000053
SA,-0.09999999999999964
SA,-0.20000000000000018
SA,-0.20000000000000018
SA,0.09999999999999964
SA,0
SA,-0.10000000000000053
SA,-0.09999999999999964
SA,0.20000000000000018
SA,0.09999999999999964
SA,0.09999999999999964
SA,0.2999999999999998
SA,0.09999999999999964
SA,0
SA,-0.09999999999999964
SA,0.09999999999999964
SA,0.09999999999999964
SA,0.09999999999999964
SA,0
SA,-0.10000000000000053
SA,0
SA,-0.10000000000000053
SA,0
SA,-0.09999999999999964
SA,-0.20000000000000018
SA,-0.20000000000000018
SA,-0.20000000000000018
SA,0.09999999999999964
SA,0.1999999999999993
SA,0.09999999999999964
SA,-0.20000000000000018
SA,-0.10000000000000053
SA,-0.20000000000000018
SA,-0.10000000000000053
SA,-0.10000000000000053
SA,0
SA,-0.20000000000000018
SA,-0.09999999999999964
SA,-0.09999999999999964
SA,-0.10000000000000053
SA,-0.10000000000000053
SA,-0.20000000000000018
SA,-0.10000000000000053
SA,-0.10000000000000053
SA,0.09999999999999964
SA,0.1999999999999993
SA,0.20000000000000018
SA,-0.10000000000000053
SA,-0.09999999999999964
SA,-0.09999999999999964
SA,-0.09999999999999964
SA,-0.10000000000000053
SA,0.09999999999999964
SA,0.09999999999999964
SA,0.09999999999999964
SA,0
SA,-0.09999999999999964
SA,-0.09999999999999964
SA,-0.09999999999999964
SA,-0.09999999999999964
SA,0.09999999999999964
SA,-0.20000000000000018
SA,-0.10000000000000053
SA,0
SA,0
SA,-0.10000000000000053
SA,0.09999999999999964
SA,0.09999999999999964
SA,-0.20000000000000018
SA,0.09999999999999964
SA,0
SA,-0.09999999999999964
SA,-0.09999999999999964
SA,-0.09999999999999964
SA,-0.10000000000000053
SA,0
SA,0.09999999999999964
SA,-0.09999999999999964
SA,0.09999999999999964
SA,0.09999999999999964
SA,-0.09999999999999964
SA,-0.10000000000000053
SA,-0.10000000000000053
SA,0
SA,0
SA,-0.20000000000000018
SA,-0.20000000000000018
SA,-0.20000000000000018
SA,-0.3000000000000007
SA,-0.20000000000000018
SA,-0.20000000000000018
SA,-0.20000000000000018
SA,0
SA,0
SA,0.09999999999999964
SA,0.09999999999999964
SA,0
SA,-0.09999999999999964
SA,0
SA,-0.1999999999999993
SA,-0.09999999999999964
SA,-0.10000000000000053
SA,-0.20000000000000018
SA,0.09999999999999964
SA,0.09999999999999964
SA,0.09999999999999964
SA,-0.09999999999999964
SA,0.20000000000000018
SA,0.09999999999999964
SA,0
SA,0.1999999999999993
SA,0.1999999999999993
SA,0.10000000000000053
SA,0.20000000000000018
SA,0.09999999999999964
SA,0.10000000000000053
SA,0.20000000000000018
SA,-0.20000000000000018
SA,0.09999999999999964
SA,-0.09999999999999964
SA,-0.09999999999999964
SA,0.09999999999999964
SA,0.09999999999999964
SA,0.09999999999999964
SA,-0.09999999999999964
SA,-0.10000000000000053
SA,-0.10000000000000053
SA,-0.09999999999999964
SA,0.10000000000000053
SA,0
SA,-0.20000000000000018
SA,-0.09999999999999964
SA,0
SA,-0.09999999999999964
SA,0
SA,0
SA,-0.09999999999999964
SA,-0.09999999999999964
SA,-0.10000000000000053
SA,0.10000000000000053
SA,0.09999999999999964
SA,0.09999999999999964
SA,-0.09999999999999964
SA,-0.10000000000000053
SA,-0.20000000000000018
SA,0
SA,-0.10000000000000053
